"TOA5","Cigar","CR1000","E3121","CR1000.Std.22","CPU:SBGmeas.CR1","24627","SBG_meas"
"TIMESTAMP","RECORD","BigRedButtonPressed","SBG","SBG_flux","ExperimentID"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2018-03-22 19:46:49.95",339,0,0.04550506,0.08634736,10100
"2018-03-22 19:46:50",340,0,0.05056117,0.09594151,10100
"2018-03-22 19:46:50.05",341,0,0.04516798,0.08570775,10100
"2018-03-22 19:46:50.1",342,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:50.15",343,0,0.04550506,0.08634736,10100
"2018-03-22 19:46:50.2",344,0,0.05089825,0.09658112,10100
"2018-03-22 19:46:50.25",345,0,0.04651628,0.08826619,10100
"2018-03-22 19:46:50.3",346,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:50.35",347,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:50.4",348,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:50.45",349,0,0.0488758,0.09274346,10100
"2018-03-22 19:46:50.5",350,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:50.55",351,0,0.04954995,0.09402268,10100
"2018-03-22 19:46:50.6",352,0,0.054269,0.1029772,10100
"2018-03-22 19:46:50.65",353,0,0.05089825,0.09658112,10100
"2018-03-22 19:46:50.7",354,0,0.0556173,0.1055357,10100
"2018-03-22 19:46:50.75",355,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:50.8",356,0,0.0556173,0.1055357,10100
"2018-03-22 19:46:50.85",357,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:50.9",358,0,0.05662852,0.1074545,10100
"2018-03-22 19:46:50.95",359,0,0.0529207,0.1004188,10100
"2018-03-22 19:46:51",360,0,0.05629144,0.1068149,10100
"2018-03-22 19:46:51.05",361,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:51.1",362,0,0.05730267,0.1087337,10100
"2018-03-22 19:46:51.15",363,0,0.054269,0.1029772,10100
"2018-03-22 19:46:51.2",364,0,0.05730267,0.1087337,10100
"2018-03-22 19:46:51.25",365,0,0.05359485,0.101698,10100
"2018-03-22 19:46:51.3",366,0,0.05730267,0.1087337,10100
"2018-03-22 19:46:51.35",367,0,0.05359485,0.101698,10100
"2018-03-22 19:46:51.4",368,0,0.0556173,0.1055357,10100
"2018-03-22 19:46:51.45",369,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:51.5",370,0,0.05595437,0.1061753,10100
"2018-03-22 19:46:51.55",371,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:51.6",372,0,0.05595437,0.1061753,10100
"2018-03-22 19:46:51.65",373,0,0.05359485,0.101698,10100
"2018-03-22 19:46:51.7",374,0,0.05763974,0.1093733,10100
"2018-03-22 19:46:51.75",375,0,0.05528022,0.1048961,10100
"2018-03-22 19:46:51.8",376,0,0.05932511,0.1125714,10100
"2018-03-22 19:46:51.85",377,0,0.05730267,0.1087337,10100
"2018-03-22 19:46:51.9",378,0,0.06202171,0.1176883,10100
"2018-03-22 19:46:51.95",379,0,0.05831389,0.1106525,10100
"2018-03-22 19:46:52",380,0,0.06134756,0.116409,10100
"2018-03-22 19:46:52.05",381,0,0.05966219,0.113211,10100
"2018-03-22 19:46:52.1",382,0,0.06168463,0.1170486,10100
"2018-03-22 19:46:52.15",383,0,0.05898804,0.1119318,10100
"2018-03-22 19:46:52.2",384,0,0.06033634,0.1144902,10100
"2018-03-22 19:46:52.25",385,0,0.05831389,0.1106525,10100
